Sample,Type,SeqID,Reads,Coverage,Path
E401_20,offspring,E401_20_S1415,183348,481.909,/home/maccamp/kootenai/data/align/E401_20_S1415.sort.bam
6F60_6,offspring,6F60_6_S1423,199742,524.604,/home/maccamp/kootenai/data/align/6F60_6_S1423.sort.bam
6F60_22,offspring,6F60_22_S1431,185204,489.976,/home/maccamp/kootenai/data/align/6F60_22_S1431.sort.bam
6F60_11,offspring,6F60_11_S1439,178634,471.695,/home/maccamp/kootenai/data/align/6F60_11_S1439.sort.bam
6F60_9,offspring,6F60_9_S1447,183214,484.142,/home/maccamp/kootenai/data/align/6F60_9_S1447.sort.bam
6F60_20,offspring,6F60_20_S1455,147311,396.924,/home/maccamp/kootenai/data/align/6F60_20_S1455.sort.bam
1193_9,offspring,1193_9_S1463,177009,468.578,/home/maccamp/kootenai/data/align/1193_9_S1463.sort.bam
1193_12,offspring,1193_12_S1471,368037,966.473,/home/maccamp/kootenai/data/align/1193_12_S1471.sort.bam
1193_16,offspring,1193_16_S1479,189309,504.476,/home/maccamp/kootenai/data/align/1193_16_S1479.sort.bam
1193_04,offspring,1193_04_S1487,186229,495.703,/home/maccamp/kootenai/data/align/1193_04_S1487.sort.bam
1193_13,offspring,1193_13_S1495,175956,461.478,/home/maccamp/kootenai/data/align/1193_13_S1495.sort.bam
6870_1,offspring,6870_1_S1201,301491,816.62,/home/maccamp/kootenai/data/align/6870_1_S1201.sort.bam
6870_2,offspring,6870_2_S1208,314362,848.237,/home/maccamp/kootenai/data/align/6870_2_S1208.sort.bam
6870_3,offspring,6870_3_S1125,419640,1134.03,/home/maccamp/kootenai/data/align/6870_3_S1125.sort.bam
6870_4,offspring,6870_4_S1133,225766,606.308,/home/maccamp/kootenai/data/align/6870_4_S1133.sort.bam
6870_5,offspring,6870_5_S1141,282893,766.127,/home/maccamp/kootenai/data/align/6870_5_S1141.sort.bam
5A41_1,offspring,5A41_1_S1149,289046,782.509,/home/maccamp/kootenai/data/align/5A41_1_S1149.sort.bam
5A41_2,offspring,5A41_2_S1157,297043,802.209,/home/maccamp/kootenai/data/align/5A41_2_S1157.sort.bam
5A41_3,offspring,5A41_3_S1165,361202,984.225,/home/maccamp/kootenai/data/align/5A41_3_S1165.sort.bam
5A41_6,offspring,5A41_6_S1173,238959,646.527,/home/maccamp/kootenai/data/align/5A41_6_S1173.sort.bam
5A41_5,offspring,5A41_5_S1180,218955,592.503,/home/maccamp/kootenai/data/align/5A41_5_S1180.sort.bam
6870_2_1,offspring,6870_2_1_S1187,330865,895.154,/home/maccamp/kootenai/data/align/6870_2_1_S1187.sort.bam
6870_2_3,offspring,6870_2_3_S1194,576049,1558.79,/home/maccamp/kootenai/data/align/6870_2_3_S1194.sort.bam
6870_2_3,offspring,6870_2_3_S1194,576049,1558.79,/home/maccamp/kootenai/data/align/6870_2_3_S1194.sort.bam
6870_2_4,offspring,6870_2_4_S1209,236329,639.235,/home/maccamp/kootenai/data/align/6870_2_4_S1209.sort.bam
6870_2_5,offspring,6870_2_5_S1126,451841,1219,/home/maccamp/kootenai/data/align/6870_2_5_S1126.sort.bam
156A_2_1,offspring,156A_2_1_S1134,361005,977.12,/home/maccamp/kootenai/data/align/156A_2_1_S1134.sort.bam
156A_2_2,offspring,156A_2_2_S1142,312095,841.367,/home/maccamp/kootenai/data/align/156A_2_2_S1142.sort.bam
156A_2_3,offspring,156A_2_3_S1150,315889,854.392,/home/maccamp/kootenai/data/align/156A_2_3_S1150.sort.bam
156A_2_4,offspring,156A_2_4_S1158,265430,716.56,/home/maccamp/kootenai/data/align/156A_2_4_S1158.sort.bam
156A_2_5,offspring,156A_2_5_S1166,264270,715.034,/home/maccamp/kootenai/data/align/156A_2_5_S1166.sort.bam
156A_1,offspring,156A_1_S1174,485552,1322.46,/home/maccamp/kootenai/data/align/156A_1_S1174.sort.bam
156A_2,offspring,156A_2_S1181,293715,799.946,/home/maccamp/kootenai/data/align/156A_2_S1181.sort.bam
156A_3,offspring,156A_3_S1188,266298,719.79,/home/maccamp/kootenai/data/align/156A_3_S1188.sort.bam
156A_4,offspring,156A_4_S1195,264546,714.816,/home/maccamp/kootenai/data/align/156A_4_S1195.sort.bam
156A_5,offspring,156A_5_S1202,392844,1069.38,/home/maccamp/kootenai/data/align/156A_5_S1202.sort.bam
4C2E_1,offspring,4C2E_1_S1159,392956,1062.54,/home/maccamp/kootenai/data/align/4C2E_1_S1159.sort.bam
4C2E_2,offspring,4C2E_2_S1167,336898,910.35,/home/maccamp/kootenai/data/align/4C2E_2_S1167.sort.bam
4C2E_3,offspring,4C2E_3_S1175,530431,1429.28,/home/maccamp/kootenai/data/align/4C2E_3_S1175.sort.bam
4C2E_4,offspring,4C2E_4_S1182,569063,1537.01,/home/maccamp/kootenai/data/align/4C2E_4_S1182.sort.bam
4C2E_5,offspring,4C2E_5_S1189,643966,1730.31,/home/maccamp/kootenai/data/align/4C2E_5_S1189.sort.bam
4C2E_2_1,offspring,4C2E_2_1_S1196,760275,2046.71,/home/maccamp/kootenai/data/align/4C2E_2_1_S1196.sort.bam
4C2E_2_2,offspring,4C2E_2_2_S1203,1290841,3464.97,/home/maccamp/kootenai/data/align/4C2E_2_2_S1203.sort.bam
4C2E_2_4,offspring,4C2E_2_4_S1212,456474,1201.84,/home/maccamp/kootenai/data/align/4C2E_2_4_S1212.sort.bam
4C2E_2_4_5,offspring,4C2E_2_4_5_S1220,375217,1001.24,/home/maccamp/kootenai/data/align/4C2E_2_4_5_S1220.sort.bam
2434_1,offspring,2434_1_S1228,377984,1010.65,/home/maccamp/kootenai/data/align/2434_1_S1228.sort.bam
2434_2,offspring,2434_2_S1236,440355,1178.11,/home/maccamp/kootenai/data/align/2434_2_S1236.sort.bam
2434_3,offspring,2434_3_S1244,366273,982.079,/home/maccamp/kootenai/data/align/2434_3_S1244.sort.bam
2434_4,offspring,2434_4_S1252,658406,1781.32,/home/maccamp/kootenai/data/align/2434_4_S1252.sort.bam
2434_5,offspring,2434_5_S1260,261165,692.874,/home/maccamp/kootenai/data/align/2434_5_S1260.sort.bam
B4DA_1,offspring,B4DA_1_S1268,381729,1005.41,/home/maccamp/kootenai/data/align/B4DA_1_S1268.sort.bam
B4DA_2,offspring,B4DA_2_S1276,579276,1563.59,/home/maccamp/kootenai/data/align/B4DA_2_S1276.sort.bam
B4DA_3,offspring,B4DA_3_S1284,637355,1721.57,/home/maccamp/kootenai/data/align/B4DA_3_S1284.sort.bam
B4DA_4,offspring,B4DA_4_S1292,350730,943.975,/home/maccamp/kootenai/data/align/B4DA_4_S1292.sort.bam
B4DA_5,offspring,B4DA_5_S1300,397772,1053.34,/home/maccamp/kootenai/data/align/B4DA_5_S1300.sort.bam
6870_6,offspring,6870_6_S1408,209620,559.443,/home/maccamp/kootenai/data/align/6870_6_S1408.sort.bam
6870_7,offspring,6870_7_S1416,192598,513.048,/home/maccamp/kootenai/data/align/6870_7_S1416.sort.bam
6870_8,offspring,6870_8_S1424,222896,589.533,/home/maccamp/kootenai/data/align/6870_8_S1424.sort.bam
6870_9,offspring,6870_9_S1432,605951,1607.22,/home/maccamp/kootenai/data/align/6870_9_S1432.sort.bam
6870_10,offspring,6870_10_S1440,247514,661.02,/home/maccamp/kootenai/data/align/6870_10_S1440.sort.bam
5A41_7,offspring,5A41_7_S1448,203941,542.492,/home/maccamp/kootenai/data/align/5A41_7_S1448.sort.bam
5A41_8,offspring,5A41_8_S1456,217828,578.342,/home/maccamp/kootenai/data/align/5A41_8_S1456.sort.bam
5A41_9,offspring,5A41_9_S1464,288616,770.796,/home/maccamp/kootenai/data/align/5A41_9_S1464.sort.bam
5A41_10,offspring,5A41_10_S1472,278288,729.482,/home/maccamp/kootenai/data/align/5A41_10_S1472.sort.bam
5A41_11,offspring,5A41_11_S1480,153532,423.419,/home/maccamp/kootenai/data/align/5A41_11_S1480.sort.bam
6870_2_6,offspring,6870_2_6_S1488,186262,501.575,/home/maccamp/kootenai/data/align/6870_2_6_S1488.sort.bam
6870_2_7,offspring,6870_2_7_S1496,281029,751.147,/home/maccamp/kootenai/data/align/6870_2_7_S1496.sort.bam
